Codigo,Nombre_Curso,Pre_Req1,Pre_Req2
1701101,RAZONAMIENTO LOGICO MATEMATICO,0,0
1701102,METODOLOGIA DEL TRABAJO INTELECTUAL UNIVERSITARIO,0,0
1701104,ARTE COMPUTACIONAL,0,0
1701105,INGLES TECNICO PROFESIONAL I,0,0
1701106,FUNDAMENTOS DE COMPUTACION,0,0
1701107,ESTRUCTURAS DISCRETAS I,0,0
1701114,LIDERAZGO Y ORATORIA,0,0
1701208,ESTRUCTURAS DISCRETAS II,1701107,1701106
1701209,CIENCIA DE LA COMPUTACION I,1701106,0
1701210,CALCULO EN UNA VARIABLE,0,0
1701212,INGLES TECNICO PROFESIONAL II,1701105,0
1701215,COMUNICACION INTEGRAL,0,0
1701216,REALIDAD NACIONAL,0,0
1702117,ARQUITECTURA DE COMPUTADORES,1701208,0
1702118,CIENCIAS DE LA COMPUTACION II,1701209,0
1702119,DESARROLLO BASADO EN PLATAFORMAS,1701209,0
1702120,TRABAJO INTERDISCIPLINAR I,1701209,0
1702121,CALCULO EN VARIAS VARIABLES,1701210,0
1702122,INGLES TECNICO PROFESIONAL III,1701212,0
1702123,CIUDADANIA E INTERCULTURALIDAD,0,0
1702224,ALGORITMOS Y ESTRUCTURAS DE DATOS,1702118,0
1702225,TEORIA DE LA COMPUTACION,1701208,0
1702226,BASE DE DATOS I,1701209,1701208
1702227,ALGEBRA LINEAL NUMERICA,1701210,0
1702228,ESTADISTICA Y PROBABILIDADES,1702121,0
1702229,ECOLOGIA Y CONSERVACION AMBIENTAL,0,0
1703130,BASE DE DATOS II,1702226,0
1703131,ANALISIS Y DISENO DE ALGORITMOS,1702224,0
1703132,INGENIERIA DE SOFTWARE I,1702118,1702226
1703133,COMPILADORES,1702225,0
1703134,ANALISIS EXPLORATORIO DE DATOS ESPACIALES,1702228,1702224
1703135,ECUACIONES DIFERENCIALES,1702121,1702227
1703236,PROGRAMACION COMPETITIVA,1703131,0
1703237,INGENIERIA DE SOFTWARE II,1703132,0
1703238,ESTRUCTURAS DE DATOS AVANZADOS,1703131,0
1703239,SISTEMAS OPERATIVOS,1702117,0
1703240,TRABAJO INTERDISCIPLINAR II,1702120,0
1703241,MATEMATICA APLICADA A LA COMPUTACION,1703135,0
1704142,INVESTIGACION EN CIENCIAS DE LA COMPUTACION,1703131,0
1704143,DESARROLLO DE SOFTWARE EMPRESARIAL,1703132,0
1704144,REDES Y COMUNICACION,1703239,0
1704145,INGENIERIA DE SOFTWARE III,1703237,0
1704146,COMPUTACION GRAFICA,1703238,1703241
1704147,INTELIGENCIA ARTIFICIAL,1702228,0
1704248,INTERACCION HUMANO COMPUTADOR,1704143,0
1704249,PROYECTO DE FINAL DE CARRERA I,1704142,1703238
1704250,COMPUTACION PARALELA Y DISTRIBUIDA,1703236,1704144
1704251,SEGURIDAD EN COMPUTACION,1704144,0
1704252,FORMACION DE EMPRESAS DE BASE TECNOLOGICA I,1704143,0
1704253,RELACIONES HUMANAS,0,0
1704254,FISICA COMPUTACIONAL (E),1703241,0
1704255,TOPICOS EN INGENIERIA DE SOFTWARE (E),1704145,0
1705156,PROYECTO DE FINAL DE CARRERA II,1704249,0
1705157,BIG DATA,1703130,1704250
1705158,ETICA GENERAL Y PROFESIONAL,0,0
1705159,FORMACION DE EMPRESAS DE BASE TECNOLOGICA II,1704252,0
1705160,INGLES TECNICO PROFESIONAL IV,1702122,0
1705161,TOPICOS EN CIENCIA DE DATOS (E),1703134,0
1705162,TOPICOS EN INTELIGENCIA ARTIFICIAL (E),1704147,0
1705163,TOPICOS EN COMPUTACION GRAFICA (E),1704146,0
1705164,BIOINFORMATICA (E),1703241,0
1705265,CLOUD COMPUTING,1705157,0
1705266,PROYECTO DE FINAL DE CARRERA III,1705156,0
1705267,TRABAJO INTERDISCIPLINAR III,1703240,0
1705268,INTERNET DE LAS COSAS,1704250,0
1705269,ROBOTICA (E),1705162,0
1705270,TOPICOS EN CIBERSEGURIDAD (E),1704251,0
